scenario,variant,corridor,method,distance_nm,speed_kn,hours,days,fuel_me_t,fuel_aux_t,fuel_t,co2_t,tag
NSR_VAR1_GC,NSR_VAR1,NSR,GC,7230.228464092291,12.5,578.4182771273832,24.1007615469743,795.325131050152,120.5038077348715,915.8289387850235,2851.891315376563,DEST_YOKOHAMA
NSR_VAR1_SEA,NSR_VAR1,NSR,SEA,8402.201061688691,12.5,672.1760849350953,28.00733687229564,924.242116785756,140.0366843614782,1064.2788011472342,3314.164186772487,DEST_YOKOHAMA
NSR_VAR2_GC,NSR_VAR2,NSR,GC,7239.555832952366,12.5,579.1644666361892,24.131852776507884,796.3511416247602,120.65926388253942,917.0104055072997,2855.570402749731,DEST_YOKOHAMA
NSR_VAR2_SEA,NSR_VAR2,NSR,SEA,10477.038287140018,12.5,838.1630629712014,34.92346095713339,1152.474211585402,174.61730478566696,1327.0915163710688,4132.562981979508,DEST_YOKOHAMA
NSR_VAR3_GC,NSR_VAR3,NSR,GC,7152.171650796732,12.5,572.1737320637386,23.840572169322442,786.7388815876405,119.20286084661221,905.9417424342528,2821.102585940263,DEST_YOKOHAMA
NSR_VAR3_SEA,NSR_VAR3,NSR,SEA,9993.719879157543,12.5,799.4975903326034,33.312399597191806,1099.3091867073297,166.56199798595904,1265.8711846932888,3941.9228691349012,DEST_YOKOHAMA
SUEZ_VAR1_GC,SUEZ_VAR1,SUEZ,GC,10352.795170019634,14.5,713.9858737944575,29.749411408102393,1338.7235133646077,148.74705704051198,1487.4705704051196,4631.983356241542,DEST_BUSAN
SUEZ_VAR1_SEA,SUEZ_VAR1,SUEZ,SEA,10959.98007225515,14.5,755.8606946382862,31.494195609928592,1417.2388024467866,157.47097804964295,1574.7097804964296,4903.646256465881,DEST_BUSAN
SUEZ_VAR2_GC,SUEZ_VAR2,SUEZ,GC,8635.092461051148,14.5,595.5236180035274,24.813484083480308,1116.6067837566138,124.06742041740154,1240.6742041740154,3863.4594717978835,DEST_BUSAN
SUEZ_VAR2_SEA,SUEZ_VAR2,SUEZ,SEA,10959.980072255152,14.5,755.8606946382863,31.494195609928596,1417.2388024467868,157.47097804964298,1574.7097804964299,4903.646256465882,DEST_BUSAN
SUEZ_VAR3_GC,SUEZ_VAR3,SUEZ,GC,9909.183246855226,14.5,683.391948058981,28.474664502457543,1281.3599026105894,142.3733225122877,1423.7332251228772,4433.50526303264,DEST_BUSAN
SUEZ_VAR3_SEA,SUEZ_VAR3,SUEZ,SEA,11008.094516980924,14.5,759.178932205581,31.632455508565872,1423.4604978854643,158.16227754282937,1581.6227754282936,4925.173322683706,DEST_BUSAN
CAPE_VAR1_GC,CAPE_VAR1,CAPE,GC,13575.68510807954,14.0,969.6917934342529,40.4038247264272,1858.5759374156514,202.01912363213603,2060.5950610477876,6416.69302010281,DEST_BUSAN
CAPE_VAR1_SEA,CAPE_VAR1,CAPE,SEA,15198.550558684768,14.0,1085.6107541917693,45.23378142465705,2080.7539455342244,226.16890712328527,2306.92285265751,7183.757763175485,DEST_BUSAN
CAPE_VAR2_GC,CAPE_VAR2,CAPE,GC,13762.268364384234,14.0,983.0191688845881,40.95913203685784,1884.1200736954606,204.7956601842892,2088.91573387975,6504.883595301541,DEST_BUSAN
CAPE_VAR2_SEA,CAPE_VAR2,CAPE,SEA,14715.410213227822,14.0,1051.100729516273,43.79586372984471,2014.6097315728566,218.97931864922356,2233.58905022208,6955.396302391557,DEST_BUSAN
CAPE_VAR3_GC,CAPE_VAR3,CAPE,GC,14056.284288996905,14.0,1004.0203063569218,41.83417943153841,1924.3722538507668,209.17089715769205,2133.543151008459,6643.853372240341,DEST_BUSAN
CAPE_VAR3_SEA,CAPE_VAR3,CAPE,SEA,14768.44524861238,14.0,1054.8889463294556,43.95370609706065,2021.87048046479,219.76853048530327,2241.6390109500935,6980.463880098591,DEST_BUSAN
NSR_VAR1_GC,NSR_VAR1,NSR,GC,7452.484154508625,12.5,596.19873236069,24.841613848362083,819.7732569959487,124.20806924181042,943.9813262377592,2939.557849904382,DEST_BUSAN
NSR_VAR1_SEA,NSR_VAR1,NSR,SEA,8783.767056508628,12.5,702.7013645206903,29.279223521695428,966.2143762159492,146.39611760847714,1112.6104938244264,3464.669077769264,DEST_BUSAN
NSR_VAR2_GC,NSR_VAR2,NSR,GC,7461.811523368699,12.5,596.9449218694959,24.872705077895663,820.7992675705569,124.36352538947831,945.1627929600353,2943.2369372775497,DEST_BUSAN
NSR_VAR2_SEA,NSR_VAR2,NSR,SEA,10858.604281959953,12.5,868.6883425567962,36.195347606533176,1194.4464710155949,180.97673803266588,1375.4232090482608,4283.067872976284,DEST_BUSAN
NSR_VAR3_GC,NSR_VAR3,NSR,GC,7374.427341213066,12.5,589.9541872970453,24.58142447071022,811.1870075334373,122.9071223535511,934.0941298869884,2908.769120468082,DEST_BUSAN
NSR_VAR3_SEA,NSR_VAR3,NSR,SEA,10375.285873977478,12.5,830.0228699181982,34.584286246591596,1141.2814461375226,172.92143123295799,1314.2028773704806,4092.427760131676,DEST_BUSAN
SUEZ_VAR1_GC,SUEZ_VAR1,SUEZ,GC,9948.098404449127,14.5,686.0757520309743,28.586489667957263,1286.3920350580768,142.9324483397863,1429.324483397863,4450.916441300946,DEST_SHANGHAI
